,labels,sentences
337007,0,"Good morning to the world... had a bad night, twice woke up with heavy nosebleed - what's not a good thing... "
564238,0,"@aikku  you need to start looking for a cheaper apartment, now!"
755954,0,My teacher hates me!  I feel super bullied by her!
61771,0,it's already 10pm and he's not even back yet!!!!! grrrrrr.. miss him badly. 
1465763,1,1
1026637,1,1
796928,0,"I hate that I need to tweet everything in English. :') I'm too lazy, but nobody will understand me. "
605575,0,@GilbertThera thanks! I'm trying to upload a pic but it's not working 
607915,0,"IS DONE WITH THE EXAMS! i survived physics, and have spended the day with my BFF - gonna miss you so incredibly much ! "
944525,1,1
1250304,1,1
1018443,1,1
991895,1,1
877525,1,1
1212699,1,1
1085148,1,1
556695,0,"@Anindeeea huwaaaa enak banget, gue dirumah sendiri "
500358,0,wishing I did not have to go back to work tomorrow 
91628,0,just want to lay in bed and cry. what's wrong with me? 
869247,1,1
1152586,1,1
159541,0,"@Neets68 Poached, PLEASE! Somehow can't seem to do poached myself ... "
1396169,1,1
713155,0,Had a busy day!Long walk from about 10:45-14:00.Then found out I need glasses  then did some shopping and ate round our friends...
534315,0,@mrmajestyk do I fail for having no clue what that is/means? 
532394,0,@bnththespinlite i would love to but i'm busy tonight 
519053,0,can it be Friday already?!?? 
145296,0,To bad the lakers lost last night   Atlest it is a 1-1 series  Even though my favorite team is the Cavs and they play tonight.
1573304,1,1
968240,1,1
1046402,1,1
167208,0,So its my bday weekend and shit is already headed south...might have to drive to atl tonight 
1327544,1,1
610329,0,"@MissGC : You should!! It's highly recommended!! XD Oh, some people said that @BrianEHanerJr was an impostor "
1046127,1,1
279299,0,Is upset that cedar point got rained out  -Lexie-
419444,0,Downloading Ubuntu 9.04..  I gave in.. 
958062,1,1
422388,0,"Getting ready to head off for a hopefully victorious game of Dodgeball, up 3-1 so far this season. Still haven't seen the Cobra Kais "
59408,0,2many parties.  Worn out.  Can't party like its 1999 anymore. 
258090,0,Sat outside for two minutes and got 5 bug bites. 
358962,0,Having a church finance meeting.  ughh!!  
1311355,1,1
1068441,1,1
622602,0,@lordjenn Agh! Whole screen of binary is even scarier! Im just waiting for this whole thing to crash...(again) 
208853,0,@agencycouture inexpensive is close to free for now.  I have a site but its a premade layout.
459704,0,Started drinking soda again. I thought I kicked this bad habit 
368186,0,"@trent_reznor  i'm a diamond in the rough, Trent! if only you knew..."
671175,0,I received mail saying I have new followers but when I click t see. Nothing! Why!  Teach me anyone?
748336,0,@ddlovato sometimes we need a good cry. &amp; your voice'll find its way back. sorta like the little mermaid  #trackle
730161,0,lol. do u love me too? 
1338781,1,1
768229,0,"@cakey I am okay, I am a bit sad reading about #iranelection stuff  How are you?"
1505792,1,1
688284,0,@batistini21 yeah but you dont have an economics assignment and exam on monday as well  and ive barely started the assignment. no ipt time
1424981,1,1
100798,0,Urgh! Have been doing a little weeding out of bott followers. Didn't realise there were so many!! Internet being very slow doesn't help 
1153845,1,1
335297,0,"Work today  had better get ready,,,"
1116090,1,1
446211,0,@spotmaticfan sorry got screwed into not getting to go and barely touching to computer.   Hope you had a good time.
892333,1,1
280229,0,The sad part is my kids will be gone for 7 weeks in 11 days 
1068928,1,1
497827,0,@mariomoraesindy   I'm sorry to hear that.
703342,0,@mileycyrus Â£50 for a concert ticket to see you?! There's a global recession on you know?! Very disappointing 
396690,0,@livenoutlouder Wish I would have bought the BK gift cards with the boys on them last night. 
441545,0,hey what up. my pool is still being fix.  but is get there which is good. thanks 4 reaching my followers goal.
184891,0,i cant find any pictures. 
1575243,1,1
1044914,1,1
1011785,1,1
41150,0,@sprilite but it hits me at 2 tender spots! ice cream n free!!!!  n i managed to get it for e past 2 yrs. sigh....
522219,0,No coffee? Why even get up. 
1428938,1,1
486806,0,"@octaviars i'm fine,thx lost my usbcable  listenin to another audiobook"
1285714,1,1
969139,1,1
771096,0,Crawford walks and Jamie Moyer's perfect game is ruined! MUAH HAHAHAHAHAH... We're still down 6...  #Rays
1383651,1,1
707629,0,Errors: Could not install extension from '/Users/nda/Downloads/chrome-delicious-extension.crx'. Signature verification failed 
820473,1,1
186549,0,#wish27 Man...gonna have to go to bed soon... 
1498132,1,1
1146496,1,1
1504740,1,1
1134437,1,1
1237682,1,1
1402835,1,1
1347149,1,1
59760,0,i have been left with a mess.. 
518078,0,is working alone! 
540403,0,Sad that our last tennis lesson is over 
1334598,1,1
1372232,1,1
1214918,1,1
1520588,1,1
666782,0,Kho ngu qua! dem nao cung thuc den tan 6h sang the nay thi chac 50 tuoi la len ban tho ngoi mat 
1086757,1,1
877798,1,1
1013981,1,1
884024,1,1
1304362,1,1
1346924,1,1
668907,0,@mistygirlph I'm sad - got home after you left 
72814,0,"@michellemistake oh yes. until they come back to the pearson's and someone is waiting there, who tristin just happens to be in love with "
317443,0,"came home from work and now i do work on my presentation about london, but it's too much information to end this quickly so "
527318,0,Wow i havent been on this for a long time. Just goes 2 show u wat school &amp; work can do 2 u 
1256740,1,1
288969,0,"oh god, now i can't even browse rllmuk cos of the spoilerzzz "
689033,0,I think I shd get a microwave oven. Eating out everyday is really not a good idea. 
207132,0,My mom really did sprain her ankle an she won't be able to do shit for weeks idk what weeks is like 2 3 6 idk 
549992,0,On th way to skl bt nt at all in th mood of doin so... :S  save me!!!!!!! 7.30 to 17.30 heeeellllppp hellhouse!!!
733960,0,ugh dont wanna work today 
1002510,1,1
1141054,1,1
692457,0,"not hanging around to day - lots to do, but need advise on my bees "
220516,0,@omgitsJustinTR  i would've made one but i kept getting interrupted. i'm sorry. 
692848,0,@Brad_Gary  Sad day -- I fell asleep early and left my laptop up and running. Let me know if you still want to drop by!
60763,0,"Finished my short film, feels a little wrong, but it's 15 seconds over... "
389186,0,Gotta work on the tornado of a house today  Hoping it will be decently warm though outside and I can go for a dip in the pool!
408251,0,my baby's growing up 
156135,0,@Kcatz I envy you so much!!  Plz don't tell me the story for two months..haha
583619,0,"Not feeling too good, seriously thought my allergies were just going crazy, but now feel puny "
159552,0,OMG WUT. WHY IS IT RAINING 
242446,0,"Nooo, I think Theme Hospital just crashed, it's frozen, and I've just built all my rooms! "
1273018,1,1
359565,0,@MrPeterAndre hey peter cant believe the press is still over you  i hope one day they will leave you alone also good luck on the new album
400091,0,@maebeth sorry 
677525,0,I be feeling bad when someone remembers me but I don't remember them 
1368139,1,1
1458268,1,1
774198,0,sushi and jamba juice please! gahhh  i miss LA
994777,1,1
1596591,1,1
1388481,1,1
595153,0,"@DevineNews I'm sorry but what happend to Jared? Poor guy, he grew to b such an awesome kid "
1213522,1,1
425518,0,@jradc Im all with the ADD last couple of days  tomorrow is read/write day!
1124487,1,1
1250437,1,1
49,0,@tea oh! i'm so sorry  i didn't think about that before retweeting.
365366,0,happen but dont feel right saying i dont want them together..i dont know what to do...sorry for venting on here.. 
85762,0,My dad just called me and said he got in a car crash. He's in bad shape. 
730561,0,nothing that can do..... i have to stay at my bed.... so boring.... 
1275558,1,1
1502825,1,1
255253,0,@Klbdmb i'm sad you're still not following me daggie. 
1505159,1,1
32849,0,"i'm not gonna wake up in time for school tomorow...i just know it, i've been going to bed at 3/4am everyday and waking up at 11am "
314785,0,@DeepXP: Though I would've gone with MediaWiki but its a hassle!! 
708763,0,@IkeMoses its about 12.5% in LA 
562118,0,back to work  at least they give me that money stuff. whats the deal tonight? can we pwease get fucked up?
1321111,1,1
350363,0,@weezieyo I read online that the station just decided to change formats. And did away with all their djs. But they gave no reason why. 
500906,0,@studiosarah @neg1224 how was the performance today? I was all tied up and couldn't make it! 
1373551,1,1
965343,1,1
773272,0,"@dawnlangstroth I, well Twitter, is having a DM problem!!  I can't DM you right now..   Can you email me and I will email back?"
371212,0,My dad just called me a dumbass...  &lt;~.:Rise Up:.~&gt;
1056984,1,1
1545382,1,1
